epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,58.6197,4.01403,4.10048,2.55723,2.83967,0,0.31857,0.33333,0.29338,0.1023,0.2373,0.18519,0.15667,0.0427,1.92522,3.57988,2.49498,1.66649,0,0.000998046,0.000332682,0.000998046,0.000332682,0.000998046,0.000332682,0.000998046,0.000332682
23,60.6381,3.93847,4.17501,2.48354,2.88367,0,0.34194,0.42593,0.2961,0.09882,0.26307,0.31481,0.19138,0.05296,1.96833,3.621,2.52716,1.70196,0,0.0010325,0.000344168,0.0010325,0.000344168,0.0010325,0.000344168,0.0010325,0.000344168
24,62.6492,3.65636,4.11113,2.45019,2.68949,0,0.34194,0.42593,0.2961,0.09882,0.26307,0.31481,0.19138,0.05296,1.96833,3.621,2.52716,1.70196,0,0.00106577,0.000355258,0.00106577,0.000355258,0.00106577,0.000355258,0.00106577,0.000355258
25,64.6351,3.90495,3.96736,2.37845,2.96075,0,0.31364,0.44009,0.28724,0.0972,0.24112,0.28838,0.19911,0.05661,1.98678,3.63343,2.63758,1.71513,0,0.00109786,0.000365952,0.00109786,0.000365952,0.00109786,0.000365952,0.00109786,0.000365952
26,66.6849,3.79828,3.78974,2.36355,2.81999,0,0.31364,0.44009,0.28724,0.0972,0.24112,0.28838,0.19911,0.05661,1.98678,3.63343,2.63758,1.71513,0,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
27,68.9676,3.18438,3.47465,2.17379,2.39044,0,0.2779,0.46326,0.28315,0.09357,0.21736,0.35185,0.19635,0.05916,2.00827,3.64894,2.69291,1.72384,0,0.00115846,0.000386152,0.00115846,0.000386152,0.00115846,0.000386152,0.00115846,0.000386152
28,70.942,3.67721,3.65887,2.23429,2.74013,0,0.2779,0.46326,0.28315,0.09357,0.21736,0.35185,0.19635,0.05916,2.00827,3.64894,2.69291,1.72384,0,0.00118697,0.000395658,0.00118697,0.000395658,0.00118697,0.000395658,0.00118697,0.000395658
29,73.2043,3.28185,3.46661,2.21631,2.43079,0,0.31166,0.46296,0.3388,0.11389,0.22325,0.42593,0.22682,0.07229,2.00502,3.67737,2.4662,1.73066,0,0.0012143,0.000404768,0.0012143,0.000404768,0.0012143,0.000404768,0.0012143,0.000404768
30,75.1715,3.2347,3.64064,2.41462,2.34674,0,0.31166,0.46296,0.3388,0.11389,0.22325,0.42593,0.22682,0.07229,2.00502,3.67737,2.4662,1.73066,0,0.00124045,0.000413482,0.00124045,0.000413482,0.00124045,0.000413482,0.00124045,0.000413482
31,77.2909,3.53314,3.5165,2.17543,2.54291,0,0.32025,0.55556,0.39954,0.13733,0.29935,0.40741,0.27735,0.09182,1.99187,3.67243,2.28412,1.73648,0,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218
32,79.1579,3.64574,3.60415,2.22736,2.751,0,0.32025,0.55556,0.39954,0.13733,0.29935,0.40741,0.27735,0.09182,1.99187,3.67243,2.28412,1.73648,0,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722
33,81.2803,2.78188,2.91795,2.01947,2.23578,0,0.31938,0.71261,0.42326,0.15801,0.29626,0.45222,0.32098,0.11045,2.00183,3.70485,2.30597,1.76011,0,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248
34,83.1074,3.02651,3.52657,2.14157,2.18676,0,0.31938,0.71261,0.42326,0.15801,0.29626,0.45222,0.32098,0.11045,2.00183,3.70485,2.30597,1.76011,0,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378
35,85.1527,2.70418,3.50876,2.01723,2.141,0,0.36657,0.68519,0.47568,0.18319,0.35364,0.50665,0.37913,0.13423,2.01148,3.72985,2.27362,1.78236,0,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112
36,87.0459,3.08673,3.39929,1.79808,2.45564,0,0.36657,0.68519,0.47568,0.18319,0.35364,0.50665,0.37913,0.13423,2.01148,3.72985,2.27362,1.78236,0,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745
37,89.4532,2.95634,3.35759,1.88418,2.20357,0,0.42001,0.60354,0.51747,0.21802,0.38339,0.55556,0.43235,0.17294,2.05469,3.71332,2.27284,1.82697,0,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392
38,91.512,2.6631,3.14966,1.75079,2.15722,0,0.42001,0.60354,0.51747,0.21802,0.38339,0.55556,0.43235,0.17294,2.05469,3.71332,2.27284,1.82697,0,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938
39,93.8512,2.77126,3.31661,1.72534,2.16219,0,0.38919,0.79061,0.57865,0.24243,0.46543,0.51852,0.48511,0.1987,2.11181,3.70776,2.16713,1.86285,0,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088
40,95.6966,3.19716,3.18949,2.25482,2.518,0,0.38919,0.79061,0.57865,0.24243,0.46543,0.51852,0.48511,0.1987,2.11181,3.70776,2.16713,1.86285,0,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842
41,98.0131,3.54392,3.49566,1.9,2.58636,0,0.51827,0.77778,0.68296,0.26973,0.41666,0.66667,0.54944,0.23494,2.11875,3.64854,1.91758,1.86368,0,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832
42,100.33,2.55786,3.251,1.58437,2.07868,0,0.51827,0.77778,0.68296,0.26973,0.41666,0.66667,0.54944,0.23494,2.11875,3.64854,1.91758,1.86368,0,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162
43,103.003,3.26885,3.49435,1.79413,2.40803,0,0.55712,0.7963,0.72791,0.2606,0.51317,0.64422,0.60996,0.25301,2.16843,3.58786,1.90355,1.88768,0,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728
